iter	MAE
0	9.237300495
1	8.508324551
2	7.892460632
3	7.351605249
4	6.934604967
5	6.48646475
6	6.186319234
7	5.868744357
8	5.623231431
9	5.337452383
10	5.090740838
11	4.935700343
12	4.754113691313	4.55653467114	4.372356342115	4.288190214116	4.178392017117	4.090614015118	4.016185101
19	3.916877049220	3.861834937221	3.780558484222	3.733273619223	3.641805179224	3.576430878225	3.513400018226	3.4620608
227	3.476801042828	3.43205402229	3.341402367330	3.344083973331	3.295568299332	3.262609453333	3.233739815334	3.190893237
35	3.161657368
36	3.126144596337	3.091295758
38	3.076734074
39	3.051647758440	3.029876076
41	3.005311769
42	2.970901066
43	2.951621251
44	2.935217013
45	2.919895269
46	2.902935117
47	2.888600945
48	2.874013929
49	2.858533621
50	2.845504556
51	2.834890016
52	2.819421744
53	2.810344803
54	2.798570846
55	2.786844829
56	2.776723449
57	2.768356004
58	2.759257362
59	2.747269011
60	2.73298041
61	2.724169955
62	2.712994588
63	2.704348407
64	2.690565758
65	2.679458902
66	2.672781225
67	2.666064534
68	2.658387997
69	2.648575193
70	2.639750646
71	2.634505742
72	2.626026728
73	2.618979574
74	2.614139156
75	2.606526905
76	2.59807427
77	2.588698219
78	2.578581117
79	2.569590476
80	2.560202387
81	2.549526013
82	2.538577515
83	2.528133723
84	2.515321424
85	2.502458595
86	2.495375681
87	2.488656027
88	2.482898596
89	2.477039742
90	2.467102232
91	2.462353772
92	2.454394509
93	2.44942248
94	2.444841386
95	2.437792275
96	2.429230344
97	2.421287456
98	2.41274828
99	2.405142154
100	2.395582381
101	2.38786581
102	2.382998225
103	2.377380085
104	2.37148331
105	2.36489879
106	2.359452149
107	2.356015528
108	2.351436792
109	2.345200425
110	2.341224833
111	2.338543672
112	2.332326359
113	2.32700043
114	2.321804912
115	2.312596381
116	2.307821122
117	2.301155647
118	2.298255023
119	2.291420621
120	2.286149875
121	2.2789828
122	2.266741457
123	2.262898491
124	2.259826382
125	2.254942638
126	2.251716875
127	2.249427339
128	2.243461647
129	2.236623592
130	2.232396324
131	2.226558371
132	2.222534182
133	2.219966856
134	2.215353303
135	2.210698899
136	2.208048689
137	2.2058054
138	2.202897639
139	2.196043328
140	2.192371276
141	2.189760803
142	2.186977423
143	2.184106831
144	2.182329262
145	2.180195375
146	2.170389208
147	2.166829326
148	2.163211148
149	2.159506099
150	2.156717928
151	2.151063051
152	2.149688345
153	2.143028812
154	2.138614859
155	2.136353062
156	2.132414546
157	2.125184945
158	2.121932762
159	2.115609091
160	2.112880345
161	2.106318542
162	2.102912357
163	2.100177943
164	2.095912861
165	2.092575274
166	2.088519848
167	2.086803172
168	2.08258067
169	2.08016616
170	2.077295665
171	2.073784438
172	2.070006264
173	2.068315236
174	2.065814581
175	2.062554107
176	2.057233509
177	2.054876684
178	2.051630524
179	2.05011092
180	2.048207982
181	2.04442656
182	2.039762599
183	2.033143775
184	2.029373976
185	2.024636735
186	2.018306553
187	2.015717526
188	2.013527101
189	2.010641601
190	2.005004992
191	2.00249517
192	1.996973365
193	1.994235403
194	1.99287425
195	1.990946174
196	1.988785731
197	1.985509971
198	1.982790131
199	1.979621759
200	1.978889456
201	1.976638062
202	1.974618262
203	1.971633824
204	1.969110797
205	1.964280242
206	1.95769999
207	1.948170701
208	1.946564738
209	1.946127068
210	1.943956293
211	1.942231431
212	1.941049632
213	1.937814997
214	1.935226473
215	1.932809677
216	1.930474177
217	1.928878768
218	1.927144112
219	1.925517594
220	1.92428166
221	1.920690863
222	1.918527308
223	1.917320965
224	1.91647239
225	1.913771975
226	1.91177533
227	1.908904796
228	1.906753569
229	1.90611986
230	1.904862916
231	1.902727369
232	1.89832983
233	1.897084056
234	1.894016004
235	1.893168839
236	1.88962133
237	1.886837383
238	1.884468059
239	1.882678282
240	1.882212112
241	1.880697859
242	1.880420843
243	1.878730962
244	1.874752641
245	1.873742212
246	1.873241165
247	1.8698132
248	1.86736828
249	1.866283106
250	1.861868639
251	1.860950743
252	1.856873158
253	1.855881859
254	1.854795954
255	1.853287967
256	1.852367537
257	1.851640852
258	1.848775305
259	1.846924542
260	1.845982965
261	1.844066078
262	1.842428807
263	1.840961066
264	1.837486378
265	1.83414241
266	1.830409173
267	1.825212919
268	1.820956071
269	1.819351918
270	1.818785056
271	1.818414009
272	1.816110265
273	1.814350393
274	1.811818893
275	1.809604265
276	1.808333959
277	1.805912153
278	1.803901961
279	1.800355846
280	1.798270674
281	1.797088646
282	1.794774647
283	1.794210584
284	1.788677345
285	1.788141952
286	1.78774944
287	1.786844165
288	1.784036588
289	1.783622868
290	1.783021786
291	1.781791012
292	1.780577436
293	1.779768895
294	1.776004819
295	1.774466007
296	1.771064914
297	1.767458136
298	1.765936032
299	1.765525261
300	1.762592133
301	1.761179154
